institute,field,why,expectations,level,advice,rating_value,expectations_grade,level_grade,predictions
בן גוריון,פיזיותרפיה,כיוון שתחום הפיזיותרפיה משך אותי מאוד. ומבין כל המוסדות רואים העדפה ניכרת לחיפה ולבאר שבע. בחרתי בבאר שבע לבסוף כיוון ושמעתי ששם שמים יותר דגש על יחסי אנוש עם המטופלים.,לא היו לי ציפיות גבוהות. אבל רציתי לצאת עם ידע ומוכנות לעבודה. כרגע לקראת סוף שנה ב כשאני ניצבת לפני התנסויות בבתי חולים אני מרגישה שנוסף לי ידע עצום. גם מעבר לנלמד בכיתה הצוות ברובו מאוד פתוח לענות על שאלות ומואד זמין,"בשנה א התשובות שלי היו קצת שונות, כיוון ושם יש הרבה מבואות והחומר נלמד בכיתות גדולות יחסית (כ-200 סטודנטים), אך בהמשך ככל שמתמקדים יותר בקורסים שרלוונטים לפיזיותרפיה הכיתות קטנות, ויש תרגולים רבים (מעשיים)","אם זה באמת מה שהם רוצים ללמוד, שיגיעו, שישארו למרות הקושי, כי זה הולך ומשתפר ככל שהחומר נהיה יותר ספציפי וענייני .",10,10.0,5.0,10
בן גוריון,פיזיותרפיה,"עקב התעניינות באנטומיה ופיזיולוגיה, ועקב פציעות קודמות הגררו טיפולים פיזיוטרפיים שמשכו אותי למקצוע.",המסלול מעניין ומאתגר.,הרמה היא גבוהה ותמיד יש אפשרות לעוד שיעור עזר.,להיות רגועים ולהנות מהמקצוע ובעיקר מחיי החברה כאן בבאר שבע.,8,10.0,10.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,"רציתי תחום שיאפשר לי עבודה עם אנשים, בעברי הייתי מש""קית ת""ש ועבדתי מול אוכלוסיות עם בעיות מאוד קשות. ולכן חיפשתי תחום יותר חיובי ואופטימי מעבודה סוציאלית.",הלימודים היו בחלקם מאוד מעשירים ומעניינים ותרמו לי ידע והרחבת אופקים. אבל בשוק העבודה זה לא מתורגם למשרות כלכליות.,"התואר מעניין, מעשיר, לא קשה מאוד, המרצים ברובם טובים","אם אתם לא כל כך סגורים על מה אתם רוצים ללמוד זה תואר מעולה להתחיל ממנו. כתואר ראשון הוא לא מאפשר הרבה אבל הדרך ממנו לתארים מתקדמים בנושאים רבים היא יחסית פשוטה. אפשר להמשיך לתחום החינוך הפורמאלי, החינוך הבלתי פורמאלי, ליעוץ חינוכי, יעוץ ארגוני, מעט השלמות לפסיכולוגיה ושנת השלמה לעבודה סוציאלית.",8,10.0,10.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,"כדי ללמוד אח""כ תואר שני בסוציולצוגיה ארגונית - יעוץ ארגוני","מבחר מועט של קורסים, ורצת עניין נמוכה","הפן החברתי, סטטוס האוניברסיטה והצצלחה בלימודים משאירים את האונ' מדורגת גבוה","הכל עניין של תפיסה ורמת ציפיות. אם מגלים עניין אמיתי, מעורבים מבחינה חברתית - התואר הזה אדיר!!! (קל, אבל אדיר).",8,5.0,5.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,"בסוציולוגיה-אנתרופולוגיה כי רציתי לעסוק בעתיד בתחום של משאבי אנוש וייעוץ ארגוני וזה אפשרי עם תואר במדעי החברה, סוציולוגיה בכלל טוב, וחינוך כי הייתי צריכה עוד מחלקה וזה היה נראה לי הכי טוב מבין כל האופציות.","בחינוך אני מרגישה שהחומר דיי מובן מאליו, ולא חשבתי שהעיסוק בפסיכולוגיה כל כך מרכזי אבל הוא כן- למי שאוהב פסיכולוגיה זה מצויין. סוציולוגיה מאוד מעניין והופתעתי לטובה אבל פחות התחברתי לעיסוק הבלתי פוסק בביקורת, פוליטיקה, וגם להרפתקנות של האנתרופולוגיה.","הרמה מאוד גבוהה, התרגולים לרוב עוזרים",תחשבו מה אתם רוצים לעשות בעתיד ולפי זה תחליטו. אם אתם לא יודעים עדיין עדיף שתלמדו משהו שמעניין אתכם.,8,10.0,9.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,רציתי ללמוד דברים שמעניינים אותי ושייתן לי פתח לבדוק מה יותר מעניין אותי ובו להתמחות בתואר השני,הייתי שמחה שהיינו עוברים יותר קורסים מעשיים מלבד תיאוריה,"רוב המרצים טובים, מאוד מעוניינים להעניק מהידע שלהם ולשמוע מה שיש לסטודנטים להוסיף ולשאול. ישנם מרצים שאינם מתאימים להוראה, אך מחויבים לבצע את ההוראה על-מנת להתקדם וכך השיעורים מתבצעים בפועל. לא כל המתרגלים מתאימים להוראה, יש לשים לב להתאמה של המתרגל להוראה ולא רק לציונים שלו.","לוודא מה התחום בו רוצים לעסוק בהמשך, ואז להחליט האם זה התואר המתאים עבורך. מרצים טובים, נושאים מעניינים.",8,10.0,10.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,"על מנת לעבור לתואר שני בהנחיית קבוצות, הייתי צריכה לבחור תחום ממדעי החברה, והתחום שהכי אהבתי וסף הקבלה שלי איפשר זאת היה סוציולוגיה אנתרופולוגיה, וכיוון שצריך לשלב דו חוגי בחרתי במקצוע שאני מאוד אוהבת- ספרות עברית",אני עוד לא בטוחה כמה אני מרוצה,"המתרגלים חובבנים לעיתים קרובות, יוצאים ידי חובה בדרך הקלה ביותר","לכו עם מה שאתם אוהבים, תואר ראשון זה בעיקר סימון וי אז עדיף להעביר את השנים האלה בכיף ולא בסבל",7,10.0,1.0,7
בן גוריון,סוציולוגיה ואנתרופולוגיה,מתוך עניין וחשיבה לעבר העתיד- מסלול זה יסלול לי את הדרך לתואר שני.,"בנתיים אני נהנית יותר מחוג לניהול יותר מאשר סוציולוגיה-אנתרופולוגיה, המחלקה אליה מלכתחילה רציתי להגיע.","בשנה א רמת המתרגלים בינונית, הם מאוד משקיעים אך עם זאת לא כ""כ מקצועיים ולכן זה מקשה. בשנה ב' המתרגלים יותר ענייניים.","תחום מרתק, לא להתייאש אם קצת לא מענייין כי זה משתפר.",6,9.0,1.0,6
בן גוריון,סוציולוגיה ואנתרופולוגיה,"מכיוון שהיה לי חשוב להבין את הסביבה החברתית בישראל ואת הגורמים שהביאו לכך. יתרה מכך, מעניין אותי מאוד לחקור תופעות שלאנשים רגילים נראים מובנים מאליהם. בנוסף שילבתי את מדעי ההתנהגות במנהל עסקים כדי להבין כיצד העולם הכלכלי עובד.",המסלול עונה על הציפיות שלי. התואר מעניין ומרתק.,המתרגלים שהיו לי לא היו כל כך טובים.,"שיש להשקיע בלימודים כי היום יש תחרות גבוהה ולכן ככל שהציונים יותר גבוהיים, כך הסיכויי להתקבל לעבודה גבוהיים יותר.",6,10.0,1.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,"אני לומדת במסלול דו חוגי של סוציולוגיה אנתרופולוגיה ולימודים רב תחומיים עם חטיבות במזה""ת ופוליטיקה וממשל.
בחרתי ללמוד מקצועות אלו מתוך עניין","תחילה הייתי במסלול דו חוגי של סוציולוגיה אנתרופולוגיה ומזה""ת. כאשר בשנה השנייה הקטנתי את מזה""ת לחטיבה (לא רציתי ללמוד ערבית) והוספתי חטיבה בפוליטיקה וממשל","בפוליטיקה וממשל- רמה גבוהה מאוד (מבואות) סוציולוגיה אנתרופולוגיה- תלוי, חלק מהקורסים ברמה גבוהה אך חלקם לא מזה""ת- ברמה גבוהה (מבואות)","המסלול מעניין מאוד ולדעתי המחלקות בהן אני לומדת הן ברמה גבוהה באוניברסיטת בן גוריון
יחד עם זאת, יש עוד המון שיקולים לבחירת מקצוע ומקום לימודים וזה כבר אינדיבידואלי לחלוטין",8,4.0,5.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,תואר משולב מאוד מעניין בעייני בתחומים שמסקרנים אותי,עו מוקדם להגיד,יש כמה מתרגלים במרה נמוכה בעיקר בקורס מבוא לאנתרופולוגיה,תואר משולב מאוד מעניין עם אוכלוסיה טובה.,8,1.0,5.0,8
בן גוריון,סוציולוגיה ואנתרופולוגיה,בחרתי מכיוון שהנושא בעיקר מעניין אותי מאוד ואהבתי את השילוב שהאוניברסיטה מציעה תואר דו-מחלקתי עם תקשורת.,המסלול שבחרתי מספק אותי ומעשיר אותי בידע כמו שציפיתי. מכיוון שהמסלול הוא בעיקר להעשרה וידע ולא התמקדות בתחום מקצועי זה ענה על הדרישות שלי.,"רמת הלימודים גבוהה, יש מתרגל אחד שחשתי שלא ממש בא לטובת כל הסטודנטים ולעיתים כיתות התרגולים מלאות ביותר מדי סטודנטים וגם לדעתי יש שיעורים שצריך לתת להם שעות תרגול ואין להם.","בעיקר להנות מההרצאות והידע שמוגש לכם, במבחנים זה נהיה קשה ומעצבן בגלל שצריך לשנן ו""להקיא"" חומר אבל כאשר רק מקשיבים החומר הלימודי מאוד מאוד מעניין.",7,10.0,1.0,7
בן גוריון,סוציולוגיה ואנתרופולוגיה,כייון שרציתי ללמוד תואר שיעניין אותי,קשה לעשות תואר דו מחלקתי כיוון שיש הרבה התנגשויות בין המחלקות,רמת המתרגלים טובה מאוד ישנם תרגולים בהם חש יותר מידי סטודנטים ( מעל 35),"להשקיע במהלך הסמסטר, לעבור על השיעורים של אותו יום ולעשות את תרגולי הבית",9,1.0,5.0,9
בן גוריון,גיאוגרפיה ופיתוח סביבתי,חיפשתי תואר שיהיה מעניין ללמוד אותו.,המסלול לא ממש מאתגר. זה טוב למי שמחפש לעשות חיים קלים.,קצת בזבוז זמן. למדתי כמעט אך ורק בתקופת מבחנים.,"המקצוע טוב רק לאקדמיה לא לשוק. אם זה רק מתוך עניין גרידא, תקחו את זה בתור לימודי העשרה כלשהם ולא בתור תואר.",4,10.0,1.0,8
בן גוריון,גיאוגרפיה ופיתוח סביבתי,מתוך רצון להדריך טיולים באוריינטציה של היסטוריה ומחשבת של עם ישראל,"קורסים מצויינים, מרצים טובים, קמפוס מוצלח וחברתי.","רמה גבוהה, יחס אישי מתרגלים טובים.","להגיע לשיעורים בנושא שמתעניינים בו לפני שעושים את ההחלטה, כדי לחוות גם את השיעורים, המרצים והנושא וגם את החיים בקמפוס.",9,10.0,10.0,9
בן גוריון,גיאוגרפיה ופיתוח סביבתי,הכי קרוב לתחום איכות הסביבה שמצאת.,קורסים די מגוונים ומעניינים.,יש קורסים שעדיף שהיה תרגול פרונטלי מאשר תרגילים בתור שיעורי בית.,לדבר עם סטודנטים בפועל ו סטודנטים שסיימו את התואר לאחרונה וממזמן.,8,10.0,5.0,8
בן גוריון,גיאוגרפיה ופיתוח סביבתי,מתוך עניין,בהחלט ענה על ציפיותיי,רמה סבירה למדי,"להירשם לתואר זה רק מתוך עניין ולא להקל ראש לגביו, הוא אינו פשוט כמו שהוא נשמע",8,10.0,5.0,8
בן גוריון,גיאוגרפיה ופיתוח סביבתי,הוא מעניין אותי,"קשה לי לענות כרגע על השאלה הזאת, אדע יותר בעתיד","כנ""ל","ראש פתוח, אם כסף הוא המטרה בחיים זה לא המקום",8,9.0,1.0,8
בן גוריון,גיאוגרפיה ופיתוח סביבתי,תחום הפיתוח הסביבתי עם חיבור לפאן אנושי.,ישנם קורסים בפשוט מועברים בצורה גרועה,"בינונית, רצון טוב אבל החומר די בינוני",סביבה ואנרגיה זה העתיד!תהיו יחודיים,8,1.0,8.0,8
בן גוריון,גיאוגרפיה ופיתוח סביבתי,כי זה עניין אותי התחום של הסביבה ביחד עם מקצועות הניהול.,היו מקצועות שנהנתי והיו כאלה שלא.,בגלל שזאת מכללה הרמה טיפה יותר נמוכה מאוניברסיטה מבחינת הדרישות מהסטודנטים,תלכו ללמוד מה שאתם אוהבים!,7,1.0,1.0,7
בן גוריון,גיאוגרפיה ופיתוח סביבתי,עניין בתחומי הטבע והסביבה,חלק מהקורסים הבסיסיים(מבואות) של המסלול אינם קשורים לתחומי העניין שלי....,"רמת הלימודים הגבוה ביותר, ישנם מתרגלים לכל קורס וגם שיעורי עזר ושעות קבלה לפי הצורך... כמות סטודנטים בהרצאה גדולה(כיתות גדולות)","להתעניין ולשמוע לפני על מגוון המסולולים הקיימים(תואר חד מלקתי/דו מחלקתי/משני וראשי), לבנות מראש את התוכנית לימודים וצורת פריסתה, לבוא בגישה טובה(הסמסטר/השנה הראשונ/ה הם רק מבואות וחלק מהחמר לא עינייני אלא מאוד מכליל החלק הכיפי זה בהמשך הדרך....)",9,1.0,5.0,9
בן גוריון,גיאוגרפיה ופיתוח סביבתי,ראיתי שיש מסלול של איכות סביבה במחלקה וזה תחום שהייתי רוצה ללמוד עליו לעסוק בו,יש עדיין אי סדר מסויים במחלקה לגיאוגרפיה בקשר של המסלולים השונים,יש מרצים מעולים ועדכניים ויש מרצים שההוראה שלהם פשוט גרועה..,חייך והחיים יחכו אליך (:,7,5.0,1.0,7
בן גוריון,גיאוגרפיה ופיתוח סביבתי,מרצון ללמוד איכות סביבה בהקשר העירוני,לא מתעסקים מספיק בתחומי הבחירה,לא קשה במיוחד.,"בבאר-שבע - לא להסכים למחירי דירות גבוהים! במיוחד אלו שמגיעים בשנה הראשונה.
ישנה עליית מחירים מטורפת בשנים האחרונות, בעיקר בגלל סטודנטים חדשים מהמרכז שרגילים למחירים פי 2 באזור שלהם. זו מציאות אחרת בבאר שבע, מצב הדירות והעיר עצמה, לא מצדיקים את מחירי הדירות שמשתוללים פה.",7,1.0,1.0,7
בן גוריון,הנדסה כימית,"ריבוי מקומות עבודה בעתיד, חשיבה מחוץ לקופסא.",הלימודים הוערו בצורה כיפית ומהנה.,"תואר מאוד מעניין ומאתגר, מאוד לחוץ וקשה.",ריבוי מקומות העבודה בעתיד,10,10.0,10.0,10
בן גוריון,הנדסה כימית,מסלול מעבר שמשלב כניסה לאוניברסיטה וזכאות בתנאים נוחים לשנה אקדמאית מלאה בלי הסיוט של פסיכומטרי והשלמת בגרויות,"המסלול טוב מאוד ואם התקבלתם הוא אפילו מצוין,
מסלול מעבר ישיר לבן גוריון. השנה א בספיר להנדסה כימית היא שנה א לכל דבר והיא מוכרת על ידי כל האוניברסיטאות בארץ כשנה א כולל כל הקורסים שבה.
הסיליבוסים זהים והמרצים טובים. המסלול מצריך ציון סף גבוה בכל המבחנים..
המסלול לא קל, אבל אפשרי עם פסיכומטרי ממוצע מינוס ובגרות מלאה.. בתנאי שעוברים בתנאי סף הקבלה או המכינה.","היה חסר יחס אישי, כיתות קטנות והסברים למי שלא מבין את החומר כמו שצריך.
קצב ההתקדמות הורס את היכולת של המרצה או המתרגל להעביר את החומר..","לגשת למכינה רק אם יש לכם רקע מתמטי רציני למשל בוגרי 5 יחידות מתמטיקה, בלי פסיכומטרי. המכינה קשה ודחוסה, רמת המתמטיקה גבוהה, המסלול עצמו קשה אבל מזכה בשנה א לכל דבר ומעבר ישיר לשנה ב באונברסיטה.
זה לא קל בכלל.
למי שעשה 3 יחידות מתמטיקה אני ממליץ להשלים יחידות ולגשת למסלול בלי המכינה המטורפת. או לנסות להתקבל למסלול דרך אפיקים אחרים, ויש כאלה.
זה מסלול טוב שלא מתאים לכל אחד.",5,5.0,1.0,5
בן גוריון,הנדסה כימית,"כי אהבתי כימיה ומתמ' בתיכון, ורציתי מקצוע שיהיה פרקטי ושימושי בעתיד ושישלב את שניהם.",הקורסים אומנם מעניינים אותי אך קשה מאוד למצוא עבודה בתחום,רמה טובה לרוב המתרגלים מעולים ומצילים את הסטודנטים ממרצים לא ברורים.,"לחשוב טוב אולי כדאי לכם ללכת למשהו יותר מוכר כמו מכונות שמאוד דומה בלימודים והיחס יותר טוב.
לחפש עבודה בשנים מוקדמות.",10,5.0,1.0,10
בן גוריון,הנדסה כימית,"נמשכת לתחם המדעים (ביולוגיה, כימיה). מקצוע עם אחריות. ובסופו של דבר פרקטי.",אני בתחילתו כך שלא אוכל לומר בודאות אם המסלול ענה.,מפורטת. מוסברת. אני מרוצה,חשוב מאוד לגעת קצת בכימיה לפני. להבין במה מדובר.,9,5.0,10.0,9
בן גוריון,הנדסה כימית,"שמעתי על המסלול שהוא נורא מעניין ומאתגר , ובנוסף רציתי ללמוד תחום ריאלי .",אני נורא נהנת מלימודי התואר,"רוב המתרגלים סבירים , בכיתת תירגול יש כ- 20-30 סטודנטים , בהרצאה כ- 70 תלמידים","לאסוף חומר מראש עבור הקורסים , וללמוד טוב",6,10.0,5.0,6
בן גוריון,הנדסה כימית,"התעניינתי בכימיה בתיכון, ובנוסף עבדתי עם מהנדסי כימיה שגרמו לי להתעניין בתחום.","הרבה קורסים הם כללים מידיי שלא קשורים לתחום, אך יש קורסים שמתמקדים בתחומים הקשורים להנדסה כימית שדורשים הרבה ידע והבנה.","כמות הסטודנטים גדולה בהרצאה מה שגורם לחוסר ריכוז, רוב המתרגלים מצידם אינם מסבירים בצורה טובה את החומר הנלמד והעיקר לסיים את התרגול .",לבוא מוכנים ללימודים קשים ומסננים .,4,4.0,1.0,7
בן גוריון,הנדסה כימית,תואר פרקטי ניתן למוצא מגוון רחב של עבודות בתחום,מסלול די קשה ישנם מספר קורסים מאוד מאתגרים שקשה לעבור אותם,רמת הלימודים די גבוהה ונדרשת השקעה רבה,זהו תואר קשה ישנם הרבה קורסים קשים לאורך כל התואר זה לא נהיה יותר קל ככל שהשנים עוברות וצריך לקחת זאת בחשבון צריך להשקיע כדי להצליח,9,1.0,9.0,9
בן גוריון,הנדסה כימית,אהבתי בתיכון כימיה וחשבתי להמשיך עם הכיוון הזה בחיים,דיי ידעתי למה אני נכנסת מכול מיני אנשים. ידעתי שיהיה קשה הכרתי גם את המחלקה בתור מחלקה קשה שלא ממש מתחשבת בסטודנטים. וגם שמעתי על תוכנית הלימודים מאנשים שעברו זאת.,מאוד גבוהה ועם זאת גם מאוד קשה.,שיבדוק טוב טוב למה הוא ניכנס אחרת סתם תלך לו שנה אם הוא לא ידע על מה מדובר לפני. שיראה את הסילבוס שיתענין במה כול קורס מלמד ושיראה מה רמת הקושי של התואר ואם זה מתאים לו,9,1.0,10.0,9
בן גוריון,הנדסה כימית,התעניינתי בלימודי הנדסה - אז קראתי על כל ההנדסות והנדסה כימית נראתה לי הכי מעניינת ומתאימה לי .,המסלול שבחרתי נורא מתאים לי ועונה על הציפיות שלי. אני מרגישה שאני ממצה את עצמי ולומדת חומר שממש מעניין אותי.,רמת הלימודים גבוהה והתירגולים ברמה יחסית גבוהה. לא תמיד יש קשר בין החומר הנלמד בשיעור לתרגול .,לפעמים שווה ללכת קצת רחוק כדי למצוא דברים טובים .,8,10.0,5.0,8
בן גוריון,הנדסה כימית,המלצות מחברים ותחום עניין שמשך אותי.,תחום מאתגר מאוד ולא פשוט,אין שיעורי עזר. כמות סטודנטים בתרגולים ובהרצאות גבוהה.,להבין כבר מהתחלה שצריך לשבת וללמוד כמעט כל היום,6,1.0,5.0,6
העברית,משפטים,התעניינתי בלימודי המשפטים ורציתי להעמיק במיוחד את הידע במשפט ציבורי ובין-לאומי,"לא ידעתי למה לצפות טרם הלימודים, והעניין שגיליתי בהם היה גדול בסופו של דבר",בתואר מנעד רחב של קורסים ותחומי עניין,לדבר עם בוגרים על מנת להשיג כמה שיותר פרטים על התואר,10,1.0,5.0,8
העברית,משפטים,"התלבטתי רבות בין תחומי לימוד שונים. אבי הציע שאנסה משפטים (מעולם לא חשבתי ללמוד משפטים). החלטתי לקחת סיכון ומקסימום להפסיד שנה ועשרת אלפים ש""ח. והופתעתי לטובה...","בהחלט. הלימודים כללו מגוון רחב של תחומים - פסיכולוגיה, סוציולוגיה, כלכלה, מדעי המדינה. זו הסיבה שנהניתי מהם.","תואר שיש בו המון, נותן כלים ויכולות גם למי שלא רוצה לעסוק במקצוע","לא חייבים לרצות להיות עורך דין. מדובר בתואר ""כללי"" שנותן המון.",10,10.0,10.0,10
העברית,משפטים,"אני ירושלמי וזה קרוב לבית, וגם האונ' העברית ידועה כמקום לימודים מצוין.","בסה""כ כן, הרמה הייתה גבוהה","די טוב, ברמה גבוהה.",להשקיע בשנה א' ככל יכולתכם,8,10.0,10.0,8
העברית,משפטים,"מצד אחד רציתי תואר פרקטי, שבסופו יוצאים עם מקצוע, ומצד שני רציתי תואר שנוגע בקצת מכל תחומי החיים.",אני מאוד מרוצה מבחירת המקצוע. באופן כללי באוניברסיטה מאוד מוכוונים מטרה ולפעמם אפשר לשקוע בתחום ספציפי מידי. מומלץ ללמוד חטיבה במשהו נוסף.,"ההסתייגות העיקרית שיש היום - יש המון היצע ופחות ביקש במשרדים טובים, העבודה מאוד אינטסיבית (ימי עבודה ארוכים במיוחד), השכר נשחק בגלל הביקוש, ובשורה התחתונה - זה לא מקצוע חופשי! עו""ד הוא מספק שירותים וצריך לעמוד לשירותו של הלקוח בכל רגע. תחשבו אם זה מתאים לכם...","תחשבו האם מתאים לכם לעבוד במשרד שעות ארוכות, מול מחשב, בתפקיד שירותי (כהכללה). מניסיוני, מומלץ לשבת וללמוד כמו שצריך פעם אחת. לא לבזבז זמן על מועדי ב', לקרוא פסקי דין כמו שמבקשים בכיתה.",8,10.0,1.0,8
העברית,משפטים,רכישת מקצוע שפותח הרבה אפשרויות,ענה על הציפיות,המקום פיזית נעים המזכירות מסבירת פנים איכות ההוראה סבירה רמה גבוהה . הרבה עבודות,"מקום מצויין , לא רק שם טוב",6,10.0,10.0,8
העברית,משפטים,"כי רציתי להיות עו""ד",רכשתי המון ידע ועמדתי בהצלחה בבחינות הלשכה,מרחיב אופקים,ללכת על זה גם אם לא רוצים לעסוק בעריכת דין כי זה מרחיב אופקים וחשוב במדינת חוק.,10,10.0,10.0,10
העברית,משפטים,כיוון שרציתי בו.,ענה בצורה מלאה,-,"קשה לתת תשובה כללית, באופן עקרוני מומלץ לבחור לבצע את המסלול בעברית ולא במקום אחר, המאמץ גדול יותר אך משתלם",10,10.0,2.0,10
העברית,משפטים,"עשיתי תואר ראשון במשפטים ותקשורת (משולב), משום שהרגשתי ששני התארים יתנו לי כלים מקצועיים על מנת להתברג בשוק העבודה הכללי, לאו דווקא משפטי.",בלימודי התקשורת היה חסר לי מסלול מעשי יותר ופחות תיאורטי.,העניק לי רמה גבוהה והרבה כלים.,לא ללכת למכללות בשום פנים ואופן!!!,9,1.0,10.0,9
העברית,משפטים,"למדתי משפטים עוד ברוסיה, לפני עלייתי לישראל. לא הספקתי לסיים שם את התואר. אז היה טבעי ללכת לפקולטה.",למדתי בעוד שתי ארצות: רוסיה וספרד. הגישה לסטודנטים והאווירה הכללית הייתה הרבה יותר טובה. גם הארגון של כל התהליך הלימודי היה מחושב טוב יותר ויותר מתחשב בסטודנט.,תכנית הלימודים לא מאוזנת: מעט מדי מקצועות תשתית,"נסו לקרוא 5 פסקי דין כלשהם של בית המפשט העליון (40 עמודים כ""א בערך) במשך שעתיים. אם הצלחתם - זה המסלול בשבילכם!",7,10.0,1.0,7
העברית,משפטים,"בחרתי את המסלול משום שמקצוע עריכת הדין מרתק לפי דעתי, דרך החשיבה, הניתוח, והיכולות המצופות מעורכי דין מתאימות לי","המסלול קשה משחשבתי, הערכתי כי יהיה לי יותר קל ונוכחתי לדעת שהשעות הרבות שיש להשקיע חיוניות על מנת לעמוד בעומס.","התרגולים לרוב ממשיכים את הנושאים בשיעור, ולא חוזרים עליהם, יותר מצומצמים מההרצאות",להבין שנכנסים למסלול אינטנסיבי הדורש שעות לימוד רבות במהלך השבוע ולימוד עצמי רב,10,9.0,1.0,10
העברית,משפטים,"כי זה משהו כללי ויכול לסייע לי להתקבל לעבודה במגזר הציבורי. בנוסף, האמנתי שהלימודים עצמם יעניינו אותי.",הלימודים ברובם מעניינים אך החוג למדע המדינה ברמה נמוכה יחסית.,הכוונה היא למשפטים. יש הרצאות מעט גדולות מדי לטעמי.,לא להשתגע.,9,5.0,1.0,8
העברית,משפטים,"מאז ומעולם רציתי להשתמש ביכולת הרטורית, הלוגית, וחוש הצדק שלי בכדי לשפר את העולם סביבי.",יש קורסים פחות מושכים אבל בגדול הנושא מעניין אותי.,רמת הלימודים גבוהה. אין נוכחות חובה. רמת המתרגלים גבוהה גם כן.,לא צריך לקרוא הכל. רק סיכומים.,8,1.0,5.0,8
העברית,משפטים,תחום המשפט עניין אותי באופן אישי ואני רואה את עצמי עובדת בתחום בעתיד.,"אני מרוצה מהרמה של הלימודים, וגם מהעניין שיש לי בקורסים.","זה מאד משתנה. יש מתרגלים מעולים ויש מתרגלים פחות מקצועיים. אנחנו הרבה סטודנטים בהרצאות, ולפעמים זה מקשה, משום שיש הרבה שאלות ולא תמיד כולם מצליחים להשאר מרוכזים.",לא להלחץ בסמסטר א' מעבודות.,7,10.0,4.0,7
העברית,משפטים,משפטים וחינוך הם שני תחומים שמאוד מעניינים אותי ומאפשרים להתברג בתפקיד בעל השפעה חברתית. אני מוצאת את שני המקצועות כמזינים אחד את השני ובעלי תחום חפיפה משמעותי.,"קשה לי לדעת עדיין, אני מניחה שאדע רק בעתיד כשאבקש להוריד את מה שלמדתי למישור המעשי","הרמה מאוד גבוהה כך שנשמר המתח האתגרי, אך לעיתים אני מרגישה שהרמה גבוהה מידי..","אם זה מה שאתם רוצים - תעשו פסיכומטרי פעמיים, אם קשה לכם להתקבל זה לא אומר שיהיה לכם קשה בלימודים פה כיון שאין מתאם בין פסיכו' ללימודים אקדמאיים.",8,7.0,5.0,8
העברית,משפטים,עניין.,"המסלול אכן מאתגר, לראשונה הלימודים מעניינים ולא כאלה פשוטים עבורי.",מרוצה בעיקר מהרמה האקדמית.,"לחסוך כסף לפני, לקחת בחשבון שהשנה הקשה מאתגרת מאוד (ספציפית באוניברסיטה העברית), ולא כדאי לשלב אותה עם תחום לימוד נוסף עד שנה ב.",9,10.0,10.0,9
העברית,משפטים,משפטים חשבונאות מאפשר לבחור בעתיד בין שני מסלולים וזה שילוב שמעניק יתרון בכל אחד מהמסלולים.,כרגע אני מאד מרוצה מהמסלול. משפטים הוא תחום הומני יותר ובחשבונאות יש מקצועות יותר ריאליים ככה שמתעסקים בכל התחומים.,הרמה בשני המקצועות מאתגרת אך לא קשה מדי.,"להיות מוכנים שזה מאד עמוד, אבל לא להקשיב לאנשים שמגזימים, זה בהחלט אפשרי!",8,5.0,2.0,8
העברית,משפטים,רציתי להיות עובדת סוציאלית ורציתי שיהיה לי כלים נוספים,כן- מעניין בלימודים ומבטיח עניין גם בתעסוקה,"יש מתרגלים טובים ויש כאלה שאינם, יש הרבה סטודנטים בהרצאה (90-120)","להכין את עצמם לעבוד קשה, אבל לדעת שזה ישתלם בסוף",8,10.0,5.0,8
העברית,משפטים,את המשפטים משום שחשבתי שהתחום מעניין אותי ובגלל שחשבתי שזה יפתח בפני אפשרויות לתעסוקה. את החוג השני בחרתי בגלל שהוא עניין אותי מאוד.,הלימודים בחוג ללימודים רומאניים ולטינו אמריקניים מהנה אותי מאוד וענה על מרבית הציפיות שלי. הלימודים בחוג למשפטים איכזבו אותי במידת מה.,"רמה לא מספקת, כיתות גדולות, מתרגלים לא מספיק ממוקצעים על החומר או בעלי יכולות הדרכה","שיחשבו טוב טוב, ישקלו אם זה באמת מה שהם רוצים, ושיידעו שהלימודים בפקולטה גובים מחיר מסוים (שעלול להיות די גבוה)",4,10.0,1.0,4
העברית,משפטים,כי הנושא עניין אותי מאוד,"חשבתי שאקבל חשיבה נאליטית ובאמת זה קרה
נחשפתי להרבה אנשים במעניינים",מאוד גבוהה,להיות מסודר.,10,1.0,10.0,10
העברית,משפטים,זה המקצוע שחשבתי שיעניין אותי לאורך זמן ושיכול להיות מגוון מספיק.,תחום מגוון בו כל אחד יכול להתחבר לתחום המשפטי שמעניין אותו.,"המתרגלים טובים מאוד, יש הרבה סטודנטים בכיתה בד""כ.",להגיע מוכן לעבודה קשה אבל בגדול מדובר בתחום מאוד מגוון שכמעט כל אחד יכול להתחבר למשהו ממנו.,8,5.0,10.0,8
