institute,field,why,expectations,level,advice,rating_value
BGU,ניהול,בחרתי במסלול זה מאחר ואני מעוניינת להמשיך לתואר שני בייעוץ ארגוני והתואר בו בחרתי מאפשר ללמוד גם תואר שני בסוציולוגיה ארגונית וגם תואר שני במנהל עסקים עם התמחות בהתנהגות ארגונית.,המסלול ענה על הציפיות שלי - רכשתי כלים ונסיון שעזרו לי ויעזרו לי בהמשך דרכי. בכוונתי להמשיך לתואר שני בתחום. בנתיים הצלחתי להשתלב בשוק העבודה.,"תואר יחסית כללי, אך עם זאת מעניק כלים רבים ופרספקטיבה בתחומים שונים שעוזרים להבין טוב יותר את התנהלותם של ארגונים שונים. רוב המרצים הינם מרצים ברמה גבוהה וכך גם הסטודנטים. קמפוס ידידותי, חיי חברה בבאר שבע סביב האוניברסיטה.",לברר היטב כל מה שניתן על מסלול הלימוד ולא להתפשר. אם התחלת ללמוד תחום שלא מתאים רצוי לעבור לתחום אחר ולא להגרר לסיום לימודים בתחום לא מעניין.,9
BGU,ניהול,רציתי ללמוד שיווק באוניברסיטה ולא במכללה. ניתנ לה אפשרות ללמוד במגמת שיווק של הפקולטה לניהול.,"הצלחתי להגביר את לימודי השיווק במקביל לתחומים אחרים כמו כלכלה, חשבונאות ומשאבי אנוש, הכלולים בתואר ותמיד נחוצים בעולם העסקים.","למדתי והתעסקתי במספר רב של תחומים, מצאתי הרבה עניין בחומר הנלמד ואני עדיין נעזר בידע שצברתי בעיסוקיי הנוכחים. כל זאת מבלי לציין את חיי החברה בקמפוס שהיו פשוט נפלאים.","אם אתם מתענייינים במספר תחומים כגון: שיווק, מימון ומשאבי אנוש, בואו ללמוד בפקולטה לניהול, המשלבת תיאוריה ופרקטיקה ברמת הגבוהה ביותר באקדמיה. על הדרך תחוו חיי קמפוס שתזכרו גם עוד הרבה שנים.",9
BGU,ניהול,המסלול התאים לציוני הבגרות והפסיכומטרי שלי,הייתי מרוצה מייס המרצים ומחומר הלימוד,ציפיתי לרמת החומר שנידרש ממני בקורסים,ללמוד מקצוע שתרצה לעסוק בו בעתיד.,9
BGU,ניהול,כי משלב ניהול עם משאבי אנוש,לא מעמיק מספיק,.,להבין מה עושים קודם בעבודה בתחום בו אתה מתעניין,5
BGU,ניהול,עניין אותי לעסוק בשיווק,הייתי מעדיפה יותר שימת דגש על התמחות בשטח ופחות בתיאוריה ובמחקר,ענה בחלקו על הציפיות אך למרות זאת יצאתי מסופקת,הכי כייף ללמוד ניהול בבן גוריון!!!,7
BGU,ניהול,חיפשתי מסלול שישלב בתוכו לימודי שיווק.,לא היו מספיק קורסי מגמה(שיווק),.,לשלב את התואר עם תחום נוסף(דו חוגי),7
BGU,ניהול,"משום שזהו המסלול האוניברסיטאי ללימודי מנהל עסקים, מסלול רב-תחומי המאפשר התפתחות בכיוונים שונים.","כמובן שלא ענה ב-100% והיו דברים טובים יותר ופחות. היו קורסים שנראו לי פחות רלוונטים אך היו קשים מאוד לעומת קורסים טובים, קשורים ומעשירים שלא היו מעמיקים מספיק.","כפי שמצויין בשאלה ""האם התואר ענה על הציפיות""- התואר אינו מושלם.","לא להקל ראש, להשקיע ולהתמיד. אני הוספתי שנה ללימודים משום שנכשלתי בקורס חובה. השכלתי לנצל את השנה כדי לשפר את ממוצע הציונים ע""י חזרה על קורסים משנה א' בהם לא השקעתי כנדרש.",8
BGU,ניהול,"תחילה למדתי כלכלה, אך פרשתי. לכן ניהול נראה לי האופציה הכי טבעית (היות שחלק מהקורסים הוכרו לי וקיבלתי מהם פטור)","ציפיתי לקצת יותר פרקטיקה, אך יש המון חומר תאורטי","תואר סביר בהחלט (לא גאוגרפיה, אך גם לא הנדסה)",להשקיע- סך הכל התואר לא קשה,5
BGU,ניהול,"רציתי לעשות התמחות בשיווק כי זה תחום שעבדתי בו בעבר ועניין אותי להתעמק בו, מה גם שמנהל עסקים הוא יחסית דיי פרקטי ביחס לתארים אחרים","אין מספיק פרקטיקה היום באוניבסיטאות, לימודי תאוריה כבר לא מתאמים לעולם העסקי שבחוץ, אומנם יש קורסים מעניינים שלמדתי מהם רבות אך חסר פרקטיקה.","התרגולים לרוב יותר מכוונים מה גם שהם בכיתות יותר קטנות וזה הרבה יותר פרקטי, יש גם צורך לבחור מתרגלים שיהיו יותר בקיאים בתחום אותו הם מתרגלים מאחר וזה לא תמיד כך, בנוסף יש הרבה קורסים בהם אין כלל מתרגלים. מספר התלמידים בהרצאה לא משנה כל כך הכל זה תלוי גודל כיתה.","לבדוק תחילה אם אחת מההתמחויות מעניינת אותם, ולהתייעץ עם אנשים שנמצאים בתואר.",6
BGU,ניהול,"תואר כללי, פרקטי, מיקום האוניברסיטה","לא יכול לפרט יותר מדי, פשוט הרגשה כללית שכן ענה בצורה חלקית.",רמת הלימודים גבוהה.,לתרגל את הנלמד בקורס אחרי כל יום לימודים וללכת למתרגל בשעות קבלה לפני התקופת מבחנים,9
BGU,ניהול,גם פרקטי וגם מעניין,לא הכל מעניין כמו שחשבתי- דבר שראשון שחיפשתי היה עניין,המערכת עצמה דואגת שתבין את החומר בסופו של דבר,לכו על זה,8
BGU,ניהול,"תחום שמעניין אותי ורלוונטי בשבילי ובשביל שאיפותיי העתידיות. השאיפה הראשונית הייתה כלכלה ומנהל עסקים, אך לא עמדתי בתנאי הסף ולא רציתי ללמוד במכללה אחרת, ולאחר שהבנתי שתואר בניהול בהתמחות במימון רלוונטי כמעט כמו תואר בכלכלה החלטתי ללמוד את המקצוע האמור.","אני נמצארק בסימסטר הראשוון בינתיים, אבל חושב שהחומר הנלמד ייתן לי ידע רלוונטי שיעזור לי בעתיד.","כתות קטנות, מתרגלים בסדר גמור","להתחיל ללמוד רק כשאתם מוכנים, ולשאול את עצמכם את השאלות מה מעניין אתכם, מה ייתרום לכם מבחינה אישית ומבחינה תעסוקתית. הלימודים חייבים להיות חיבור של שלושת הפרמטרים",9
BGU,ניהול,מתוך סקרנות ללמוד על החברה ותרבות משני אופנים של חקר חברה וניהול של אנשים וארגונים,לא ...הציפיות שלי לא היו רלוונטיות שכן לא הכרתי את אופי הלימודים,מתרגלים טובים ועוזרים,"לעבור על הסילבוס, ולחשוב על תואר שני מה יעניין אותו מראש כדי שיוכל להתקדם בכיוון...",9
BGU,ניהול,בשביל להרחיב את הידע שלי בתחום,כל הנושאים שלמדתי עד עכשיו משמשים אותי בפועל בחברה בה אני עובדת,מתרגלים שתמיד עוזרים ומתייחסים לשאלות,מסלול נוח מבחינת העבודה ומעניין מבחינת הקורסים,9
BGU,ניהול,רציתי כלכלה אבל לא הספיק לי הפסיכומטרי ולא רציתי לעשות שוב אז התפשרתי על ניהול,תואר סבבה,"יש תירגולים , לרוב המתרגלים טובים לעיתים פחות",אחלה מסלול. נקווה שיש מה לעשות עם התואר..,8
BGU,ניהול,מתאים לעבודה שאני עוסק בה היום,מעניין אך ציפיתי למשהו קשה ומעמיק יותר,רמת מתרגלים בינונית בחלק מהמקרים,סבלנות במציאת עבודה לאחר הלימודים,7
BGU,ניהול,בעיקר בגלל שלא מצאתי מסלול אחר שמתאים לי ופרקטי.,הנחתי שאלה הקורסים שאעשה אבל ציפיתי לקורסים מעוד תחומים.,"רוב המתרגלים טובים ומספר התרגולים בשבוע מספיק, אך יש תרגולים בהם יש מספר רב של סטודנטים בכיתה.",שיבחרו במסלול זה רק אם הם באמת מעוניניים לנהל או להקים עסק משלהם.,8
BGU,ניהול,לא היה לי רעיון אחר,בסדר,רוב המתרגלים ממש טובים,אין לי עצות,9
BGU,ניהול,כי הוא נשמע לי אטרקטיבי ומעניין,הייתי בטוח שהרמה תהיה גבוהה יותר,"יש יותר מדי סטודנטים בכיתה, מרצים לא ממש אכפתיים, רק רוצים לסיים את החומר ולברוח הביתה","תבדוק טוב טוב אם אין את מה שאתה רוצה ללמוד במקום אחר ובאותה רמה, ואם יש שווה לשקול לימודים קרוב לבית של ההורים כי זה באמת לא מקצוע שמצריך מעבר לבאר שבע.",6
BGU,ניהול,פוליטיקה וממשל זה מעניין וניהול זה פרקטי יותר,"פוליטיקה וממשל זה מעניין מאוד, אך לצערי חלק מהמרצים לא כ""כ טובים
בניהול הלימודים הם קשים יותר וקצת בל לי שבסופו של דבר יורים לכל הכיוונים אבל לא מתמחים בסוף בכלום (לפחות לא אלה שעושים דו מחלקתי)","ההרצאות בפו""ם הן מחלקתיות, אך התירגולים קטנים וטובים. בניהול הן ההרצאות והן התרגולים נעשים בקבוצות קטנות יחסית - דבר הכרחי מאחר ומדובר בחומר ראלי יותר",בדוק טוב טוב את תכנית הלימוד כדי לראות אם זה באמת מתאים,7
BGU,ניהול,תחום הניהול הוא תחום שמתאים לי מאוד אישית וגם מבחינת חשיבה על העתיד הוא נכון כלכלית,מבחינת התואר המקצועי עצמו הוא תואר מאוד מעניין אך הצוות המקצועי (ההנהלה) שהיה בשנה האחרונה התאכזבתי מאוד. ראש המחלקה מתחלף לאחר שנה וכולי תקווה שהדברים ייראו אחרת.,הבחירה של אילו מקצועות ללמד עם פחות סטודנטים היתה לא נכונה. בחלק מהמקצועות היתה הרגשה כי ישנם יותר מידי סטודנטים בכיתה ובחלק כי איחוד של שתי הקבוצות לא היתה פוגעת ברמת הלמידה.,לכו לימי ההסבר הראשוניים לפני התואר גם לימים הפתוחים הם עוזרים מאוד,8
BGU,ניהול,תחומי העניין היו סוציולוגיה ותקשורת. בחרתי ניהול בגלל שזה תואר מאוד פרקטי להרבה דברים ומכיל בתוכו הרבה תחומים שונים.,"הלימודים בניהול מאוד פרקטיים ונותנים הרבה כלים להבנת העולם העסקי. הלימודים בסוציולגיה מרתקים, תמיד רלוונטיים ונותנים זווית ראייה שונה וביקורתית על כל המציאות החברתית.","לעתים ראינו בעיות מקצועיות של המתרגלים, אבל הן תוקנו במהרה.",לבקש ממישהו לראות סיכום שיעור/ הרצאה כדי להבין עם מה יש לך עסק. יש הבדל בין הכותרת של התואר לבין מה שהוא באמת- אולי זה לא מה שחשבת שזה. שווה לטעום קצת מהלימודים.,9
BGU,ניהול,לימודי ניהול משלבים מגוונים תחומים שונים שמעניינים אותי,"הלימודים הכילו תחומים שונים, חלק מהם היו יותר רלוונטים לתואר וחלק פחות.","סה""כ הרמה גבווה, ביחוד אצל מרצים מהמחלקה.",לקחת קורסים שונים כדי להכיר כמה שיותר תחומים,8
BGU,ניהול,החלום שלי היה לנהל. וחיי חברה עשירים,התואר לא מעניין,רמת המתרגלים נמוכה ביותר,אם אתם רוצים לצאת עם תואר בתכלס בלי להתאמץ זה המסלול,3
BGU,ניהול,כיון שכימיה לא הרגיש מתאים אחרי שנה וניהול הרגיש דומה למה שעשיתי בצבא,"לאחר ההתאכזבות וחוסר ההתאמה בכימיה אני מרגישה שמצאתי את מקומי , מעניין לי כמו שציפיתי וכרגע גם הציונים גובהים שזה גם משו שציפיתי",המתרגלות של כלכלה בסמסטר ב של שנה א הורידו את הציון כיון שהיו יחסית חלשות מתרגלים בחשבונאות טובים ומקצועיים מתרגלת בסטטיסטיקה גם כן מעולה,אל תצפה להתמקדות בתחום מסוים,7
BGU,ניהול,כיוון שרציתי להתמחות במשאבי אנוש ושיווק,אני עוד לא מרגישה שאני באמת יודעת מה אני רוצה לעושת אחרי התואר ושאני אוכל ישר למצוא עבודה בתחום,מעולה,"תואר מעניין מאוד. גם ריאלי וגם הומני. לא מקצוע דשא כמו שכולם חושבים. צריך להשקיע המון. אבל זה משתלם. התואר כמו רוב התארים בישראל (חוץ מהנדסות , רפואה, סיעוד) - תואר ראשון - לא נותן הרבה , אבל כן פותח לך רעיונות למה תרצה לעשות ופותח לך עולם שלם שבו תוכל לבחור מהעולם הפיננסי לעולם מאשבי האנוש.",9
BGU,ניהול,לא הייתי בטוח איזה תחום מושך אותי ובמקום לחכות שמשהו ימשוך אותי בחרתי לנצל את הזמן לבדוק מבפנים את אחד מתחומי העסקים למיניהם.,ידעתי שהתואר אינו מקנה לי תעודה שתתן לי מקצוע אך חשבתי שאלמד דברים פרקטיים שישמשו אותי ביום יום...,"רמה לא גבוהה במיוחד, אני למשל, לא הגעתי ליותר מדי שיעורים במשך התואר והצלחתי לעבור את כל המבחנים בממוצע סביר. יש בערך ממוצע של 25 סטודנטים בשיעור (אבל אני לא אינדיקציה)","תחשבו טוב מה אתם רוצים ללמוד- מה מעניין אתכם באמת ורק אח""כ תחליטו מה ללמוד...אל תירשמו לזה בגלל שאין משהו אחר- יש המון תחומים...ובנוסף, תחשבו על זה- אחרי 3 שנים של לימודים אתם תרצו להרגיש שיצאתם עם מקצוע ופה זה לא מקצוע- אם אתם לא רוצים להיות עצמאיים- אין לכם מה לחפש בתואר הזה...",7
BGU,ניהול,"רציתי תחום מעניין, קורסים שלא ישעממו אותי, רציתי להקל על עצמי ב-3 שנים ולאלקרוס תחת הלמידה",לא מאתגר יותר מדי,נותנים את כל העזרה שצריך,לקחת בחשבון שהמסלול לא פותח יותר מדי אפשרויות לעבודה אחר כך,7
BGU,ניהול,"ראשית אציין כי בחרתי במסלול של תואר משולב- דו מחלקתי, בו אני לומדת גם ניהול וגם גיאוגרפיה ופיתוח סביבתי.
בחרתי בנושאים אלו מתוך עניין אישי ומשיכה לתחומים. כמו כן רציתי שיהיה לי תואר מגוון ושאטעם מחוגים שונים, ולפיכך בחרתי בשילוב זה.","בבחירת התואר, למעשה, הלכתי די ""על עיוור"". כשאינך סטודנט, לא משנה מה וכמה יסבירו לך איך מתנהלים הדברים ומהי כל פקולטה- לא באמת תבין זאת עד שתהיה חלק מהמערכת-סטודנט מן המניין.
מבחינת עניין אישי, מחלקת גיאוגרפיה עונה על ציפיותיי ברמה גבוהה מזו של ניהול. אני מוצאת עצמי מתעניינת ומלאת תשוקה בנושאים מסוימים בתחום.
ניהול לעומת זאת קצת מאכזב אותי. לטעמי, הן ברמה הארצית והן ברמת אוני' בן גוריון בפרט, לא ממש יודעים כיצד להגדיר את מקצוע הניהול, ומכאן הבעייתיות בהוראתו. פעמים רבות אני מרגישה שמלמדים אותי דברים שחשיבותה פחותה או שמלמדים אותם ברמה גבוהה ממה שעליי לדעת. כלכלה למשל, שהפך מקצוע מסנן בכל הארץ. מדוע אנשים שלומדים ניהול צריכים לדעת כלכלה ברמה כה גבוהה? מדוע ממוצע מחזור צריך לעמוד על 65? בסה""כ הסטודנטים בחרו במקצוע הניהול, הם לא יהפכו לכלכלנים.","רמת התירגולים לוקה בחסר. בעיקר במחלקת גיאוגרפיה, שגם אין הרבה תרגולים, ואם יש-- אז המתרגלים ברמה נמוכה. מבחינת נוכחות בהרצאות- שיעורים ריאליים [כלכלה, ניהול תפעול, מימון וכד'] בדר""כ מלאים עד אפס מקום. בשיעורים התיאורטיים [פסיכולוגיה ארגונית, תכנון עיר וא","מסלול טוב ומומלץ. על אף טענותיי על מגרעותיו, אני מרוצה ולא חושבת שיכולתי לבחור משהו שיותר יתאים לי.
הטיפ שלי: לבחור תואר משולב. כך נהנים משני עולמות עניין שונים והתואר הופך מגוון ועשיר יותר.",3
BGU,ניהול,"נראה לי תחום הניהול תחום מעניין, התואר עצמו משלב לימודי קורסים עם נושאים שונים",זה מסלול מגוון וסוג של סקירה על נושאים שונים,"רמה יחסית גבוה, אנשים איכותיים",שכדאי להם ללמוד את זה זה יפתח להם אפשרויות רבות,7
BGU,ניהול,אני רואה עצמי בתפקיד ניהולי בעתיד אך לא ברור באיזה תחום בדיוק על כן בחרתי בתואר שאוכל לפנות ממנו לכל מיני כיוונים,ציפיתי לדברים קצת אחרים מבחינת התכנים אך אני עוד בשנה א' אז אני מאמינה שיש למה לצפות,"המתרגלים בחלקם מקצועיים מאד ויצא לי לפגוש גם ילדים בני גילי שכלל לא מתאימים לתפקיד מתרגל , ישנם תירגולים עמוסים בכיתות קטנות מאד בהן קשה מאד להיכנס לאווירה לימודית",לשלב ניהול עם מקצוע מעניין שיכול למקד יותר את המקצועות בהם ניתן לבחור לאחר התואר,6
BGU,ניהול,פותח המון דלתות,מוסד מצויין! מורים מעולים! חוייה לימודית....,יפה מאוד,לכו על זה!,9
BGU,ניהול,"למעשה רציתי להתקבל לניהול מערכות מידע, אך לא יכולתי כי התנאים היו גבוהים ומעבר לציונים שלי, ולא הייתי מעוניינת לשפר. הרעיון היה להתחיל עם זה ואולי אחכ לעבור, אבל בסוף ראיתי שלא מתאים לי, כי הבנתי שניהול מערכות מידע מאוד קשה. לבסוף השנה הבאה אני עוברת לניהול יחד עם פוליטיקה וממשל- למסלול דו חוגי.","המחלקה ועובדי הסגל אינם קושבים מאוד לסטודנטים, יש המון התמרמרות מצד הסטדנטים על המון בעיות אקדמיות ותפקוד לקוי של המרצים- בעיקר עכשיו בתקופת המבחנים.
כמו כן, אני כלל לא מרוצה מחבריי למחלקה, ההרגשה דומה יותר לתיכון.
לכן אני עוברת לניהול יחד עם פולטיקה וממשל.",בהקשר הזה ראוי לציין שהמתרגלים עושים את עבודתם נאמנה..,"אם אתם רוצים להשתכר כל היום- אולי זה המסלול המתאים.
רוצים לעשות משהו עם ערך מוסף אמיתי? ללמוד ולהנות מקורסים? לכו למשהו אחר..
*ההרגשה הכללית והאווירה של החבר'ה היא של תיכון ושל לסיים מהר, אף אחד לא מעוניין או לפחות מה שאני מרגישה זה שלא רוצים באמת ללמוד כל הלב.. אבל לדעתי זה גם בגלל הרמה של המרצים וכו'- מעין ביצה ותרנגולת..
בהצלחה!
שירי",8
BGU,ניהול,כי לא הצלחתי בכלכלה חשבונאות..,הקורסים מאוד כללים ולא פרקטיים,רמה גבוהה וכיתה מפוצצת,לבחור מסלול דו חוגי כדי להרחיב אופקים,7
BGU,ניהול,רציתי לשלב בין מקצוע ריאלי למקצוע הומני. (אני במסלול דו חוגי של סוציולוגיה וניהול),המסלול מגוון ומאוזן,יש קורסים שיש בהם המון תלמידים וקשה ללמוד ככה,שילכו על זה! זה אחלה מסלול!,8
BGU,ניהול,רציתי להתמקד בשיווק,לא הרבה פרקטיקה,רמה מעולה,"תלמדו בבאר שבע..גם אם התואר לא משהו האוירה מעולה.. :)
השאלון קצת מתיש.. חבל.. חלק מהתשובות הן סתם לצאת ידי חובה...",7
BGU,ניהול,למדתי בתיכון כלכלה וניהול כמוגבר. אחרי הצבא ממש לא ידעתי לאיזה כיוון ללכת. ידעתי שאנילא אוהבת כלכלה אבל מאוד אהבתי את שיעורי הניהול והשיווק. חבר סיפר לי שיש תואר רק בניהול בלי כלכלה. לכן בחרתי בניהול עם התמחות בניהול. אתץ לימודי התחלתי במכללת אחווה וסיימתי בבן גוריון.,רציתי ללמוד משהו כללי וזה אכן ענה על כך אך אינני מרגישה עדיין שקיבלתי כלים פרקטיים לעבודה.,רמה אחלה.,זה יותר קל ממה שזה נראה.,8
BGU,ניהול,חיפשתי תואר שמשלב הומני עם ריאלי ותואר שפותח לי יותר אופציות לתואר שני,אני מסיימת שנה א עכשיו ואני יכולה להגיד שעד כה אני בהחלט מרוצה מהבחירה שלי. כמובן שיש קצת חרטות לגבי מסלול דו חוגי אבל זה לא משהו שאפשר לדעת עד שמתחילים את התואר,רוב המתרגלים שהיו לנו היו בסדר גמור. אני חושבת שאיתי במחזור יש כ- 100 סטודנטים והכמות בהרצאות תלויה בסוג ההרצאה. הרצאה כמו חשבונאות או כלכלה זה הרצאה מלאה תמיד. הרצאה כמו התנהגות ארגונית קצת פחות.,"תבואו בראש פתוח ותנסו להשכיל ולקחת כמה שיותר ידע מהמרצים וההרצאות, כי סך הכל זה מה שבאנו לעשות לא? וכמובן אל תשכחו להנות מכל מה שעיר הסטודנטים מציעה...ויש הרבה!",8
BGU,ניהול,כי זהו תחום שמעניין אותי,כי יש מספר קורסים שאני לא זקוק להם וגם חשבתי שיהיו קורסים יותר מעשיים,רמת המתרגלים בסדר גמור גם כמות הסטודנטים ממש קטנה,לבוא ללמוד ולא להוציא תואר,8
BGU,ניהול,"רציתי תחום שיעניין אותי, שיעברו לי השלוש שנים בכיף בלי לחץ ותחרות",בנתיים מעניין,לא יותר מדי קשה,לנסות ליהנות תוך כדי הלימודים,6
BGU,ניהול,"לא ידעתי בדיוק מה אני רוצה ללמוד, רציתי פסיכו' ולא התקבלתי אז הלכתי ללמוד חינוך אך רציתי משהו פרקטי שייתן לי עבודה מיד אחרי התואר אז בחרתי ניהול",חשבתי שהניהול ייפתח לי עוד יותר אופציות וכך גם החנוך,בינוני פלוס,"ניהול הוא באמת יחסית משתלב עם הרבה דברים, חינוך פחות מומלץ אצלנו בטונ' כי הוא לא נותן שום דבר יישומי בסוף התואר- לא תעודת הוראה...",7
BGU,ניהול,"רציתי ללמוד בב""ש ובדקתי את חומר הלימוד ומצאתי בו עניין.","יש הרבה תכנים שחסרים לי אבל בסה""כ לא היו לי ציפיות שונות ממה שאני מקבל מהתואר.","רמת הלימודים טובה מבחינת מתקנים, מתרגלים לפעמים לא הכי מקצועיים בעמידה שלהם מול הסטודנטים..","למצוא דירה טובה בשכונה ב', לבוא עם ראש פתוח ורצינות.. ולהינות מהתואר. בלימודים צריך להשקיע מעט והלמידה היא לא מאומצת מדי - בתאכלס כל אחד יכול ללמוד ניהול ולהצליח, לפי דעתי עדיף שזה יהיה בב""ש.",5
BGU,ניהול,"אני לומדת מחלקה בניהול, ושתי חטיבות - פוליטיקה וממשל ומתימטיקה. חשבתי שניהול יהיה החלק הפרקטי של התואר. מתימטיקה כי אני אוהבת, ופו""מ כדי להרחיב אופקים","המחלקה לניהול לצערי לא מתפקדת בצורה טובה מבחינת התנהלות, הקורסים רדודים ובעלי תכנים קטנוניים ולא מתרכזים בעיקר החומר. במתימטיקה - אני אוהבת אז זה בסדר, ופו""מ - מרצים משעממים ברובם.","סטודנטים נלחמים על מקומות בכיתות של המרצים היותר טובים, מתרגלים יותר טובים, החומר לא מובן.",לא ללכת ללמוד ניהול. כלכלה כן. אולי שם לפחות התכנים שווים את העבודה.,4
BGU,ניהול,הכי מתחרברת לתחום הזה,כן,מצויין,לבדוק טוב טוב מה הם רוצים ללמוד ולא ללמוד סתם משהו,10
BGU,ניהול,"יום פתוח שהיה, ומבט בסילבוס",אוניברסיטה ברמה נמוכה ומחלקה גרועה,היו גרועים והיו טובים,אל תבואו,3
BGU,ניהול,הכי קל שיש בבן גוריון,לא הגעתי עם ציפיות,רמת לימודים בסדר גמור לדעתי,תמצאו דירה קרובה לאוניברסיטה.,8
BGU,ניהול,שום דבר אחר לא עניין אותי,..,...,"שיבדקו אם זה מתאים להם.. סך הכל הלימודים כיפים, לא בטוח שכולם ימצאו את עצמם לאחר הלימודים",4
BGU,ניהול,המסלול עניין אותי,תואר יותר מחקרי ופחות מעשי,יש הרבה קורסים שחסומים למספר מוגבל של סטודנטים וקשה להיכנס אליהם,"מסלול מומלץ ביותר, אנשים טובים וקורסים מעניינים מאוד. מגוון העבודות בתחום דיי רחב אבל משכורות התחלתיות דיי נמוכות (כ-5000 ש""ח כשכר התחלתי).",6
BGU,ניהול,"בניהול יש הרבה מקצועות שעיניינו אותי בתחום העבודה עם אנשים, שהיא לא טיפולית כמו משאבי אנוש או יעוץ אירגוני וכן שיווק. בנוסף אני עושה שילוב של סוציולוגיה אנתרופולוגיה עם זה, כך שכל דבר שאני לומדת שם אני יכולה ליישם בקורסים של ניהול.","לבסוף כן, אחרת לא הייתי כאן.","בסוציולוגיה- אנתרופולוגיה - המתרגלים הם תור שני ומעלה ומאוד מקצועים. בניהול- גם ישנה לרוב צפיפות נוראית וגם המתרגלים הם משנה ג' או תואר שני ולא מקצועיים במיוחד, כלומר לא מומחים מספיק במקצוע אותו הם מתרגלים.","אם כבר תואר ראשון אז בבאר שבע, לפחות בשביל החוויה הסטודנטיאלית!
והרי בתחומים האלו גם ככה עושים תואר שני, אז לפחות להנות מהראשון...",6
BGU,כלכלה ומנהל עסקים,עניין בכלכלה. חשבתי שניהול יהיה נחמד ביחד.,ניהול התברר כלא רלוונטי לשום דבר. איכות ההוראה בכלכלה היתה יחסית נמוכה,"תואר דובר לעבודה ""רצינית"" אחכ- לאו דווקא מכניסה. אבל מה שלומדים בתואר לא שמיש",לא להלחץ מכל המודלים. לא משתמשים בהם אחכ,6
BGU,כלכלה ומנהל עסקים,עניין,הלימודים היו טכנים מידי ולא מחוברים לעולם האמיתי,תואר מעניין וקשה אבל לא עשו הגבלה לחיים האמיתיים,לא להילחץ וליהנות מהתקופה,7
BGU,כלכלה ומנהל עסקים,רציתי ללמוד מקצוע ריאלי.,קיוויתי ללמוד יותר ידע מעשי ולא תאוריות,תואר מאוד קשה,אני חושבת שמי שבוחר ללמוד תואר בכלכלה צריך לעשות זאת לא מאין ברירה אלה באמת מרצון ללמוד על כלכלה ושוק ההון,8
BGU,כלכלה ומנהל עסקים,בחרתי ללמוד כלכלה ופוליטיקה וממשל בבן גוריון כדי לשלב בין הפן הכמותי לפו האיכותי וליהנות משני עלומות הידע.,מילא את ציפיותיי אם כי ניתן היה להרחיב יותר בכלכלה בפן האיכותי.,הייתי יכול להשקיע יותר וגם התואר היה יכול להיות מעניין ומורכב יותר הן בכלכלה והן בפוליטיקה וממשל.,תקופת הלימודים זו אחת התקופות הכי כיפיות בחיים - מצי עלהינות מכל רגע ולהשקיע.,8
BGU,כלכלה ומנהל עסקים,"עניין, תחום עבודה רחב ורווחי.","לא תמיד היה כ""כ מעניין...","תואר ברמה גבוהה, תואר מעניין, מרצים טובים.",לבדוק טוב את האופציות מבחינת מסלול ההתמחות.,9
BGU,כלכלה ומנהל עסקים,מתוך עניין,חסר הרבה דברים פרקטיים,...,"אם מישהו יודע שהוא רוצה ללמוד אח""כ תואר שני מנהל עסקים - עדיף ללמוד כלכלה וניהול מאשר כלכלה והתהמחות במנהל עסקים (יש יותר פטורים).",8
BGU,כלכלה ומנהל עסקים,מכיוון שזה מעניין אותי,כן במיוחד לאור השילוב עם פוליטיקה וממשל,נהדר,לא להתייאש משנה א,9
BGU,כלכלה ומנהל עסקים,כלכלה הוא תחום שעניין אותי מתמיד,הייתי מצפה לקצת יותר מרק תיאוריה בת למעלה מכמה שנים טובות. יש המון דברים שאפשר ללמד בפרקטיקה ולא מלמדים,היו חסרים תכנים,תואר ראשון בכלכלה מחייב תואר נוסף ולכן חייבים להשקיע בראשון. בן גוריון מקום נפלא ללמוד בו. בהצלחה,8
BGU,כלכלה ומנהל עסקים,כי מאד סיקרן אותי תחום הכלכלה,הרבה קורסים לדעתי היו מיותרים או לא רלוונטיים והאמת? לא מה שציפתי,"לא תואר שימושי כל כך. יש הרבה ממנו ב""חוץ""",המסלול הוא טוב רק צריך משהו פרקטי בנוסף - למי שמענין אז התמחות בראיית חשבון,7
BGU,כלכלה ומנהל עסקים,גם מתוך עניין וגם כי יש עבודה במקצוע,"הלימודים מעניינים ואפשר לקחת את התואר לכל מיני כיוונים כי יש הרבה קורסי בחירה, בסופו של דבר אף אחד מהבוגרים לא עובד ככלכלן אלא תפקידים אחרים וזה שונה..","בגלל שמדובר באוניברסיטה ולא מכללה, מלמדים ברמה גבוהה אבל מצפים שנעשה קפיצת מדרגה בלימוד עצמי למבחן והמבחן ברמה גבוהה בהרבה, אבל משקיעים בנו מאוד כדי לעזור לנו להצליח בראיה לרחוק",פשוט לבוא ולחוות את באר שבע כסטודנט,8
BGU,כלכלה ומנהל עסקים,אחרי ייעוץ לימודים מטעם העתודה האקדמאית בחרתי בכלכלה לאחר התלבטות בין כלכלה למשפטים,"המסלול מאתגר ומעניין, הדרישות של המחלקה לגבי קורסים מסוימים קצת קשות.",בחלק מהקורסים יש הרבה סטודנטים שבוחרים לא להגיע לשיעור ורואים את ההרצאות המצולמות מהאינטרנט. רמת המתרגלים שונה בין הקורסים אבל תמיד אפשר למצוא אחד שיענה על הדרישות שלך.,לא לגור במעונות,6
